Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
MOHEALTH,EQ,43.8,1.08,26.79,1.69,0.73
VMARCIND,ST,400,1.18,911.43,0.19,0.73
SUTLEJTEX,EQ,59.45,2.64,973.96,1.27,0.73
PLAZACABLE,EQ,80.05,0.29,350.24,0.9,0.7
MAITREYA,ST,362.55,0.35,245.66,0.19,0.69
ENFUSE,SM,179,2.43,158.37,0.4,0.68
MAGNUM,EQ,44.93,0.65,298.39,1.43,0.64
NIFTY50ADD,EQ,255,0.96,378.47,0.24,0.61
DANGEE,EQ,7.4,2.35,79.76,8.31,0.59
BIOFILCHEM,EQ,66.9,2.83,108.87,0.92,0.57
MEGASTAR,EQ,245.05,0.1,276.75,0.22,0.53
MAHESHWARI,EQ,57.81,2.01,171.1,0.9,0.52
UNITEDTEA,EQ,445.15,2.23,222.42,0.12,0.51
ROCKINGDCE,SM,529.9,1.44,299.87,0.1,0.5
IRISDOREME,EQ,65.95,0.89,537.96,0.78,0.5
GICL,SM,66,10,164.47,0.84,0.5
MNC,EQ,29.99,0.23,24.31,1.7,0.5
LIQUIDSHRI,EQ,1019.53,0.05,25.96,0.05,0.5
PRAENG,BE,33.89,4.99,237.01,1.47,0.49
BANSWRAS,EQ,134.4,3.04,460.08,0.37,0.48
BHINVIT,IV,113.34,0.11,5020.27,0.42,0.47
IT,EQ,44.77,0.11,196.37,1.05,0.47
GUJAPOLLO,BE,325,1.15,383.5,0.14,0.46
HEALTHIETF,EQ,149.4,2.82,150.46,0.3,0.43
CPS,ST,404.3,5,84.9,0.11,0.43
725GS2063,GS,106.3,0.56,255120,0.4,0.43
ADROITINFO,EQ,20.48,2.09,50.72,2.23,0.42
RAPPID,SM,275.95,0.88,143.27,0.15,0.41
SURANI,SM,250,1.81,311.1,0.16,0.4
ASHALOG,SM,108.6,4.78,147.22,0.38,0.39
PRITIKA,ST,165.65,1.1,218.37,0.24,0.39
BSL,EQ,216,1.72,222.31,0.18,0.38
KRISHANA,EQ,220,0.62,1332.16,0.17,0.36
SAMPANN,EQ,28.75,0.31,116.75,1.23,0.36
